,rmse,mean,median,std,min,max,sse
rgbd_dataset_freiburg3_walking_halfsphere-groundtruth.txt,0.050097553347394214,0.04241480624381394,0.03644353728810603,0.026659877394593016,0.00454917818050361,0.2045145668601536,2.3014543687292237
rgbd_dataset_freiburg3_nostructure_texture_far-groundtruth.txt,0.1803952920538112,0.04243315195662815,0.027669166475170738,0.17533365053578714,0.0023406818611645813,3.553394187828979,13.342409172023732
rgbd_dataset_freiburg3_walking_static-groundtruth.txt,0.013659509587274812,0.010556866041823968,0.008389090028902422,0.008668032160752315,0.0009096220780374303,0.10484432848799562,0.11698704075736253
rgbd_dataset_freiburg3_nostructure_notexture_near_withloop-groundtruth.txt,0.026257809560656552,0.023591900659616204,0.02095870712284646,0.011528000095008114,0.005266857780383475,0.09954752080865101,0.7432514228317557
rgbd_dataset_freiburg3_sitting_xyz-groundtruth.txt,0.019393091105302886,0.017629205637508628,0.01607018690211681,0.008081032805836885,0.0019747237435369267,0.06684792147874705,0.4065554332106827
rgbd_dataset_freiburg3_structure_notexture_near-groundtruth.txt,0.014606999599700623,0.01295932503089521,0.011450017354262893,0.0067394608129483944,0.001611786575001787,0.05605932151899956,0.22360593029632558
rgbd_dataset_freiburg3_long_office_household-groundtruth.txt,0.029159305389138242,0.025550430841357406,0.02241057349485884,0.014051354902572165,0.002951789726544359,0.1377487177287626,1.8765350553448976
rgbd_dataset_freiburg3_structure_texture_far-groundtruth.txt,0.025738000635513715,0.023231751349693942,0.02070817860344876,0.011078375600226682,0.003404054901631476,0.08397037395191721,0.5074326223626976
rgbd_dataset_freiburg3_sitting_rpy-groundtruth.txt,0.08452265002175997,0.04112936420161657,0.03325365266812528,0.07384073243861887,0.0031155442153965062,1.3758019347391957,5.172312737491468
rgbd_dataset_freiburg3_sitting_static-groundtruth.txt,0.01011926279156032,0.008443552732439342,0.007060069035886377,0.00557726605956478,0.0013218571612643947,0.049330595182606754,0.06195168506401756
rgbd_dataset_freiburg3_structure_texture_near-groundtruth.txt,0.027763484644607782,0.024598390934184103,0.022124772170131424,0.012873625870764672,0.0027137905814686118,0.08364973238694448,0.7176251151181874
rgbd_dataset_freiburg3_walking_rpy-groundtruth.txt,0.05381488543059785,0.045778530101843885,0.0403565319057889,0.028290777218431904,0.006350739750210022,0.18725999502605908,2.328417682702332
rgbd_dataset_freiburg3_nostructure_texture_near_withloop-groundtruth.txt,0.03176673801994729,0.02839121192718437,0.025446785222056244,0.014250078236054314,0.005982415778280952,0.11214419735767857,1.3855295097995954
rgbd_dataset_freiburg3_sitting_halfsphere-groundtruth.txt,0.04661461852613579,0.03657225744837628,0.028601081089931975,0.028903159783436275,0.0025548285977713687,0.29303096917492194,2.1055620578667105
rgbd_dataset_freiburg3_walking_xyz-groundtruth.txt,0.034295692791472966,0.028715011403155074,0.0239435633687102,0.018752137589186067,0.0038241134649054727,0.13979565899657376,0.8715601571388945
rgbd_dataset_freiburg3_nostructure_notexture_far-groundtruth.txt,0.015171398470736975,0.013788838097201148,0.01211671634688328,0.0063276595584034435,0.0044067909565733785,0.05880090850668983,0.10311675653793034
rgbd_dataset_freiburg3_structure_notexture_far-groundtruth.txt,0.011075234139187868,0.010293343725782887,0.009603923121677457,0.004087528125985004,0.0018642699816629703,0.03691267949652739,0.09665671925541194
