,rmse,mean,median,std,min,max,sse
rgbd_dataset_freiburg3_walking_halfsphere-groundtruth.txt,2.8907709668411483,2.7984021452111216,2.9122865896061807,0.724915316716028,0.03718951465131018,4.103087387565612,8565.470702300001
rgbd_dataset_freiburg3_nostructure_texture_far-groundtruth.txt,2.2016067507441126,1.8475688228640363,1.921649010615622,1.1973143821498378,0.039063665982598604,3.7094334729173943,2176.33545593
rgbd_dataset_freiburg3_walking_static-groundtruth.txt,1.3504078240016977,1.0744224427294111,0.5245423551112521,0.8180572753080101,0.028812497288503,2.6994639782742054,1312.99292961
rgbd_dataset_freiburg3_nostructure_notexture_near_withloop-groundtruth.txt,2.3351472620633538,2.133249250107427,2.5192237636380574,0.949821231831589,0.01850432381904308,3.274658366914021,5954.58070719
rgbd_dataset_freiburg3_sitting_xyz-groundtruth.txt,0.5126761621712018,0.4395204258820249,0.48213885479444085,0.2639292376586496,0.032838239904111756,0.9509359705048495,321.18662735
rgbd_dataset_freiburg3_structure_notexture_near-groundtruth.txt,0.29034500210627284,0.23261076662637492,0.17437796578251552,0.1737597522373399,0.0025079872407969155,0.6908315351806112,88.34663081999999
rgbd_dataset_freiburg3_long_office_household-groundtruth.txt,1.1718949316365586,0.8764565294029723,0.5213293317102294,0.777921386042543,0.0029359836511805544,2.4155715741828065,3263.0504483699997
rgbd_dataset_freiburg3_structure_texture_far-groundtruth.txt,1.0060229004935874,0.9093472004643413,0.992638871896522,0.4303135430418097,0.008271638289963912,1.4728216287113658,917.95844322
rgbd_dataset_freiburg3_sitting_rpy-groundtruth.txt,0.8415975398924185,0.8011391266760617,0.9190163110630845,0.2578032561114932,0.04543258742356635,1.0792015613406052,560.25455755
rgbd_dataset_freiburg3_sitting_static-groundtruth.txt,0.0728424009458247,0.0676362061715605,0.05988831271625534,0.027043649721708127,0.030448973710126923,0.14130215851146785,3.60278444
rgbd_dataset_freiburg3_structure_texture_near-groundtruth.txt,0.3920201148568826,0.34858482055313234,0.3226660967625822,0.1793554942909302,0.00566480361530757,0.8317653635491202,163.05423645000002
rgbd_dataset_freiburg3_walking_rpy-groundtruth.txt,2.5914305795998196,2.065736935565688,1.4966667771583828,1.5646863461808376,0.05119814449762807,5.421973860136178,5842.49583053
rgbd_dataset_freiburg3_nostructure_texture_near_withloop-groundtruth.txt,2.9920960171262774,2.6417498459124316,2.638832258815122,1.4049186194668282,0.0210214176496257,4.650170952771522,14646.516709849999
rgbd_dataset_freiburg3_sitting_halfsphere-groundtruth.txt,0.29124129587140735,0.2547421356442182,0.3060949336971123,0.14116634424776803,0.04461031270905863,0.5099206801062298,91.09828286000001
rgbd_dataset_freiburg3_walking_xyz-groundtruth.txt,3.13148594063493,2.5842414070257433,2.282748632890617,1.768587161156565,0.0572847274585469,6.050900637921598,8158.7618914
rgbd_dataset_freiburg3_nostructure_notexture_far-groundtruth.txt,1.9627670100544898,1.7140092125208837,1.775882130097603,0.9563612053778547,0.04367848440594063,3.217601856973606,1752.86672277
rgbd_dataset_freiburg3_structure_notexture_far-groundtruth.txt,0.27083757736359765,0.23130257187844283,0.23119224820145468,0.14089752856100965,0.010679419459877193,0.47203878018654366,57.802158729999995
