,rmse,mean,median,std,min,max,sse
rgbd_dataset_freiburg3_walking_halfsphere-groundtruth.txt,0.05405373069854553,0.045761332562121546,0.04178890306800495,0.028769884333618666,5.958761694976137e-16,0.30967006961325005,2.9919291416892246
rgbd_dataset_freiburg3_nostructure_texture_far-groundtruth.txt,0.02569746872789576,0.023094014297956423,0.02097742841262249,0.011270599035852742,0.004080640417645699,0.07423510304060311,0.29650159466051
rgbd_dataset_freiburg3_walking_static-groundtruth.txt,0.022705324210560845,0.016795244944872112,0.011112991438173278,0.015279119567188035,2.5085050418235586e-16,0.13337793911604517,0.3696362629622899
rgbd_dataset_freiburg3_nostructure_notexture_near_withloop-groundtruth.txt,0.04346255311930595,0.033794125869877865,0.02652313957813502,0.027330396637065886,4.385884123340871e-16,0.32926778565395687,2.070336901918746
rgbd_dataset_freiburg3_sitting_xyz-groundtruth.txt,0.01700752128593938,0.015664913707293112,0.01488805926150905,0.006623160788833496,6.183093141267322e-16,0.05501171201084978,0.3546275866376011
rgbd_dataset_freiburg3_structure_notexture_near-groundtruth.txt,0.02036755476302062,0.017968220010718027,0.015921930575698708,0.00959063901265584,0.002097021361174929,0.09151247755905542,0.43682366323695
rgbd_dataset_freiburg3_long_office_household-groundtruth.txt,0.024214811294537297,0.021851884039671362,0.020050153916746125,0.010433228165184875,3.1880528049980497e-16,0.10734165055962293,1.4670654292471876
rgbd_dataset_freiburg3_structure_texture_far-groundtruth.txt,0.01786217716904148,0.016471403361949948,0.015095798968850938,0.006910155172365576,1.567757583890979e-15,0.05225787760683471,0.2903422096285863
rgbd_dataset_freiburg3_sitting_rpy-groundtruth.txt,0.042695133860932544,0.03553792703077947,0.0313148733676003,0.023662844244890402,8.655486904494775e-16,0.19150432255764485,1.4546538154115531
rgbd_dataset_freiburg3_sitting_static-groundtruth.txt,0.008531720695260573,0.007261998803789374,0.006226178723370067,0.004478128112917188,3.3074441300709317e-16,0.039511129079084266,0.049570165712939464
rgbd_dataset_freiburg3_structure_texture_near-groundtruth.txt,0.022168775024343796,0.019754061065648892,0.01759589089048112,0.010061394411043815,5.383750788817629e-16,0.08512939342724814,0.5204504066586875
rgbd_dataset_freiburg3_walking_rpy-groundtruth.txt,0.07341257322494298,0.04765425364429181,0.03928226367299557,0.055843334580889026,1.0497132516697287e-15,1.1906493490444825,4.683393733624118
rgbd_dataset_freiburg3_nostructure_texture_near_withloop-groundtruth.txt,0.021778097029713853,0.019943473326039407,0.018440302972715823,0.00874890747060375,3.4998552608808483e-16,0.08376761519183716,0.7787768078069066
rgbd_dataset_freiburg3_sitting_halfsphere-groundtruth.txt,0.04100588562153121,0.03330452936272325,0.02697314029903187,0.02392260394550737,3.8028695955818585e-16,0.16445781626114161,1.809275337432163
rgbd_dataset_freiburg3_walking_xyz-groundtruth.txt,0.03948081046384959,0.03337589078834552,0.029923744026049116,0.021089910122303695,4.3333669902954214e-16,0.2751918293934793,1.287514610172875
rgbd_dataset_freiburg3_nostructure_notexture_far-groundtruth.txt,0.025811422246297015,0.021697668870170463,0.01768647232219815,0.013980010156543949,8.896329444196128e-16,0.11061424669755432,0.30180197182461627
rgbd_dataset_freiburg3_structure_notexture_far-groundtruth.txt,0.014980455409390029,0.013770370958044191,0.012788620144843678,0.005898383503179159,0.0015280215534436922,0.0476114250585535,0.17728709497545114
